label,message
ham,I totally forgot about that
spam,FREE subscription! Win big prizes every week! Text YES to 80878
ham,See you soon
ham,I will be there in 10 minutes
spam,Urgent! Claim your free gift now! Limited time offer! Text YES
ham,Looking forward to the weekend
ham,Hope you feel better soon
spam,WIN a luxury holiday! You are selected! Call 09065394440 now!
spam,WINNER! Claim your 800 reward now before it expires! Call 0900
ham,I need to check my schedule first
ham,The food was amazing last night
spam,URGENT free prize draw! You are selected! Call 09063131000 now!
ham,Please let me know if you need anything
ham,Good luck with the exam!
ham,I need to talk to you about something
ham,I am studying for exams
ham,"Sure, that works for me"
ham,The weather is really nice today
spam,FREE mobile phone! Get the latest model now! Call 0800!
spam,Claim your FREE ringtone now! Just text TONE to 80800!
ham,"Heading out, be back by 9"
ham,How was your day?
ham,Can you call me when free?
ham,That sounds like a great idea
ham,I will let you know by evening
spam,Free gift card! Claim your 200 reward now! Call 09071512000
spam,Urgent! You have been selected for a cash reward! Claim now!
ham,I am heading to the gym
ham,I miss hanging out with everyone
ham,I will be done in 5 minutes
spam,FREE entry to win prizes! Text ENTER to 12345 now!
spam,FREE entry in 2 a weekly competition! Text WIN to 12345 now!
spam,Claim a FREE gift! You are selected! Reply to this message now!
ham,I am feeling much better now
spam,Subscribe now and get FREE access for 30 days! Call 0800 now!
ham,I just woke up
ham,I am so tired today
ham,I agree with you on that
spam,Congratulations! You have won 2000! Call 0871 to claim your prize!
ham,Are you home yet?
ham,I think you are right about that
ham,"I need to go now, talk later"
spam,You are a guaranteed winner! Call now to claim your FREE cash!
ham,Can you send me the notes?
ham,Sure I understand completely
ham,Yes I remember now
ham,Just finished dinner
spam,You have been awarded FREE mobile credit! Call now!
ham,Want to hang out this weekend?
spam,You are a winner! Claim your 500 cash bonus now by calling 09071234
ham,"Talk later, in a meeting"
ham,That was unexpected
spam,FREE entry to win a brand new car! Text WIN to 87131 now!
ham,Sure I can do that
ham,Did you finish the assignment?
ham,Hope everything is okay with you
spam,Urgent! Selected for FREE mobile upgrade! Call 0800 now to claim!
spam,URGENT! Your number is a winner! Claim your 1000 prize now!
ham,That is a good point
ham,Let me know when you reach
spam,WIN 1000 weekly! Subscribe now! Text WIN to 80080
ham,Are you coming to the party tonight?
spam,Free credit! You have been awarded 500 credit. Call 09061234567 now!
spam,You have been chosen for a FREE gift! Claim now by calling 0900!
spam,Win a 500 prize! Send TEXT to 80888 now!
ham,Hey how are you?
spam,CLAIM your 1000 bonus reward! Reply YES now!
ham,How long will it take?
ham,Yeah that sounds right
spam,You have won 1000 pounds! Call 09061743810 to claim!
ham,"Of course, no problem at all"
ham,I forgot to mention something earlier
spam,URGENT! You have won a guaranteed 1000 cash prize! Call 0800 now!
ham,Did you watch the game last night?
ham,Just got home
spam,Win big cash! Text WIN to 87575 now! Free entry guaranteed!
ham,I will pick you up at 7
spam,URGENT! You have won 5000 in our prize draw! Call now to claim!
spam,WINNER!! You are selected as a lucky winner of 2000 cash award! Call now!
spam,Congrats! You won a FREE holiday! Claim now by texting WIN!
spam,WIN a cash prize every week! Just text WIN to 80800 now!
ham,Call me when you get a chance
spam,WINNER! You have been selected to receive a 900 prize! Claim now!
ham,Did you get my last message?
ham,Okay I will do that
ham,I had a great time last night
spam,Urgent! FREE loan of 5000 approved! Apply now to claim!
spam,Urgent loan offer approved for you! Apply now to get 5000!
ham,"I am doing well, thanks"
spam,Selected for a FREE loan offer! Apply now to claim 5000!
spam,CONGRATULATIONS! You won a FREE prize! Call now!
ham,That movie was really good
ham,What time does the movie start?
spam,You have won a free holiday worth 5000! Call 0900 to claim!
spam,Congrats! You are the lucky winner of a FREE holiday! Claim now!
ham,The train is delayed by 20 minutes
ham,"Just saw your message, will reply soon"
ham,I had a rough day today
ham,I just finished work
ham,Are you free this weekend?
ham,Okay see you then
ham,See you at lunch?
ham,I was just thinking about you
ham,I am not feeling well today
spam,Urgent offer! Get a FREE gift card worth 100! Limited time only!
ham,Did you hear back from them?
ham,See you at the event then
spam,Congratulations! You are the lucky winner! Call now to claim prize!
spam,Get a FREE gift card now! Limited time! Call 0800
ham,Thanks for letting me know
ham,I bought groceries
ham,I will call you later
ham,I will get back to you later
spam,URGENT! Win a guaranteed cash prize of 500! Text WIN to 87079
ham,I will be late today sorry
ham,Sorry I missed your call
ham,That is really funny!
ham,That makes sense to me
spam,You are exclusively selected for a loan of 5000! Apply now!
ham,I am free after 6 pm
spam,Congrats you are selected for a FREE upgrade! Reply YES to claim
spam,Urgent! Your mobile number has won 5000 in our draw! Call 09071512433!
ham,Can we meet tomorrow at 5?
spam,GUARANTEED FREE prize waiting for you! Call now to claim!
ham,I will try to make it on time
spam,You have been selected for a FREE trial! Reply STOP to opt out
ham,I will be home by 8
spam,You are awarded a 500 cash prize! Call now to claim your reward!
ham,Shall we grab coffee?
spam,You are specially selected to receive a free cash bonus! Call now!
ham,I am on the bus right now
ham,I am not sure about that
ham,"I will handle it, don't worry"
ham,I think I left my keys at your place
ham,Are you still at the office?
spam,FREE mobile phone for you! Call 0800 now to claim your prize!
spam,WINNER! You have been chosen to receive a 1000 prize! Call now!
ham,How is your family doing?
spam,Claim your FREE cash reward now! You are selected! Call 0800!
ham,I am on my way home
ham,Can we reschedule to tomorrow?
spam,Your exclusive cash reward is waiting! Claim now! Call 0800!
spam,Free ringtone! Reply YES to get your free ringtone now! 3 a week!
spam,Claim your FREE mobile upgrade now! Reply YES to 83600
spam,Win a cash prize of 1000! Just text WIN to 80800 now!
ham,Do you want to grab lunch tomorrow?
ham,I will see you tomorrow then
spam,URGENT: Your mobile account is selected for a reward!
spam,Act now! Free prize waiting for you! Text CLAIM to 80155 today!
ham,What did you have for lunch?
ham,Let us plan something for next week
spam,Get a FREE mobile now with subscription! Call 08001 now!
ham,Good morning! Hope you have a great day
ham,I will send you the file later
spam,Congratulations you won a bonus credit! Text CLAIM to 12345
